Stock,Feb21,March12,August7,Logo,Unnamed: 5,CrashPercentage,RisePercentage
Amazon,2153,1676,3165,https://visualhierarchy.co/blog/wp-content/uploads/2018/04/amazon.jpg,,-22.15513237343242,88.84248210023867
Alphebet,1485,1114,1493,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Google_2015_logo.svg/1200px-Google_2015_logo.svg.png,,-24.983164983164983,34.021543985637344
Tesla,901,560,1452,https://cdn.mos.cms.futurecdn.net/BQwukuZwwwXrg27B9Le2Q6.png,,-37.846836847946726,159.28571428571428
Facebook,210,154,268,https://1000logos.net/wp-content/uploads/2016/11/Facebook-Logo.png,,-26.666666666666668,74.02597402597402
Alibaba,212,185,252,https://1000logos.net/wp-content/uploads/2018/08/alibaba-group-logo.jpg,,-12.735849056603774,36.21621621621622
Paypal,119,96,198,https://dwglogo.com/wp-content/uploads/2016/08/PayPal_Logo_Icon.png,,-19.327731092436977,106.25
IBM,149,102,124,https://1000logos.net/wp-content/uploads/2017/02/IBM-Logo.png,,-31.543624161073826,21.568627450980394
Tencent,51,43,57,https://i.ytimg.com/vi/5wcuUzXT4Es/maxresdefault.jpg,,-15.686274509803921,32.55813953488372
eBay,37,33,55,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/EBay_logo.svg/800px-EBay_logo.svg.png ,,-10.81081081081081,66.66666666666666
Oracle,54,39,54,https://www.neotys.com/wp-content/uploads/2018/06/oracle-logo.png,,-27.77777777777778,38.46153846153847
